property_id,category,matching_review_count,avg_match_score,max_match_score,avg_sentiment_score,eligible_review_count,review_coverage,bayesian_avg_match_score,property_category_score,scored_at_utc,category_rank,PropertyID,PropertyVersionStartDateLocal,PropertyReferenceType,ParkReference,ParkReferenceType,PropertyLeadID,BrandID,OwnerID,AllowsPets,NumberOfPetsAllowed,Bathrooms,Bedrooms,ChangeOverDay,Latitude,Longitude,ParkName,PricingArea,PropertyName,PropertyStatus,PropertyType,Rating,RatingType,Sleeps,SykesTicks,isHoneyPot,isTestProperty,Northings,Eastings,LocationLongName,LocationType,County,Country,Location,WorkingRegion,PropertyLiveDate,AvailableFromDate,AvailableToDate,DateToldWithdrawingLocal,WithdrawalReason,WithdrawalWhatReason,WithdrawalWhyReason,StopSell,CommissionRate,RevenueManagementOption,ReinstatementDate,ManagedServiceOption,hasBroadband,hasDishwasher,hasEnclosedGarden,hasGames,hasGarden,hasHotTub,hasIndoorPool,hasLivestock,hasOffRoadParking,hasOpenFire,hasPoolTable,hasSauna,hasSpaOrGym,hasSpaJacuzzi,hasSwimmingPool,hasWashingMachine,isCoastal,hasCountryside,hasFishing,isIsolated,hasNationalPark,hasNationalTrust,isNearPub,isNearShop,isNearCanal,isNearCycling,isNearLake,isNearRailway,isNearRiver,isNearWalks,isNew,hasNoAnimals,hasShortBreaksAllowed,hasSpecialOffers,isChildFriendly,hasCotAvailable,isGroundFloor,hasLastMinuteBreakAllowed,isSmokeFree,isSmoking,hasCharacter,isFamily,isFarm,isInGroup,isLogCabin,isLuxury,isRomantic,isThatched,isUnusual,meets_property_criteria,criteria_flag,evidence_quote_1,evidence_quote_2,evidence_quote_3,evidence_quote_4,evidence_quote_5
976031,Best Farm Stay,10,9.5,10,10,11,0.909090909,9.059883741,9.435930245,09:29.2,1,98308,04:25.0,SykesPropertyID,SykesPark:0,SykesParkID,88687,343,173013,1,2,5,5,Friday,50.7485552,-3.151283,,Devon,Hornshayne Farmhouse,Current,Cottage,0,Ticks 1 to 5,11,,0,0,95500,318500,"Farway, Devon",Other settlement,Devon,England,Farway,Devon,04/01/2008,04/01/2008,,,Unknown,Unknown,Unknown,0,20.83,Super Income Maximisation,,No,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,criteria met,we were able to experience the working farm,"access to the farm with milking, egg collecting etc","We had a great week on the farm - the accommodation was very cosy and comfortable, and Andrew and Sally made us feel very welcome. The little ones enjoyed watching the milking and collecting eggs, meeting the new calves and lambs, and playing in the outdoor play area.",We enjoyed collecting the eggs and seeing the cows being milked.,"The grand children enjoyed interacting with the animals, feeding new born calves, lambs, goats pigs and chickens."
973071,Best Farm Stay,4,10,10,10,13,0.307692308,9.01411963,9.408471778,09:29.2,2,96011,34:21.0,SykesPropertyID,SykesPark:0,SykesParkID,96168,1,112731,0,0,1,2,Friday,54.425629,-3.32707,,Cumbria West of M6,The Old Barn,Current,Terraced,4,Ticks 1 to 5,4,4,0,0,504500,312500,"Nether Wasdale, Cumbria",Other settlement,Cumbria,England,Nether Wasdale,Cumbria & The Lake District,09/01/2018,09/01/2018,,,Unknown,Unknown,Unknown,0,19,Full Income Maximisation,,No Option Assigned,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,review evidence only - manual review recommended,fabulous farm,"cats, dogs, lambs, chickens and cows all onsite",a lovely cottage on a working farm,"A working farm, so plenty of animals to see and all close by.",
1132508,Best Farm Stay,4,10,10,10,30,0.133333333,9.01411963,9.408471778,09:29.2,3,228257,05:42.0,SykesPropertyID,SykesPark:0,SykesParkID,251014,1,535459,1,1,1,1,Friday,52.9549591,-1.901867,,Peak District & Derbyshire,Abbey View Farm Cottage,Current,Annex,4,Ticks 1 to 5,2,4,0,0,339500,406500,"Croxden, Staffordshire",Other settlement,Staffordshire,England,Croxden,Peak District,20/10/2023,23/10/2023,,,Unknown,Unknown,Unknown,0,20,Full Income Maximisation,,No,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,,review evidence only - manual review recommended,Lodging on an actual working farm elevated the experience,Just arrived back from a perfect week at Abbey View Farm Cottage.,John arranging and taking us to an operating dairy farm.,Abbey View Farm Cottage,
1129527,Best Farm Stay,5,9.8,10,10,18,0.277777778,9.013178321,9.407906993,09:29.2,4,224751,03:42.0,SykesPropertyID,SykesPark:0,SykesParkID,248153,1,523452,1,2,3,3,Friday,53.397587,-4.458944,,HP - Wales Anglesey Coastal,Farmyard House,Current,House semi-detached,5,Ticks 1 to 5,6,5,1,0,391500,236500,"Llanfechell, Isle of Anglesey",Other settlement,Isle of Anglesey,Wales,Llanfechell,North Wales,19/08/2023,31/08/2023,,,Unknown,Unknown,Unknown,0,14,Partial Plus Income Maximisation,,No,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,,review evidence only - manual review recommended,the complex cats were the stars of the show,We had a fantastic stay at Farmyard House!,We had a excellent stay at the Farmyard House,Had a fantastic time staying at the farm yard house.,We had a fantastic time at farmyard house.
997270,Best Farm Stay,10,9.4,10,10,23,0.434782609,9.009883741,9.405930245,09:29.2,5,109951,23:09.0,SykesPropertyID,SykesPark:0,SykesParkID,112820,1,196743,0,0,1,1,Saturday,54.3287271,-0.6206878,,North Yorkshire,Thompson Rigg Barn,Current,Cottage,5,Ticks 1 to 5,2,5,0,0,487500,485500,"Low Dalby, North Yorkshire",Other settlement,North Yorkshire,England,Low Dalby,North York Moors & Coast,26/03/2019,26/03/2019,,,Unknown,Unknown,Unknown,0,15,Partial Plus Income Maximisation,,No Option Assigned,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,,review evidence only - manual review recommended,"the lovely and friendly farm dog,I think (Flash) and lovely and friendly donkeys, that you can feed and brush anytime",friendly rescue donkey and sheep to keep you entertained,We loved seeing the donkeys and sheep.,We loved our stay at Thompson Rigg Farm.,We had a fantastic stay at Thompson Rigg farm
1027511,Best Farm Stay,7,9.555555556,10,9.888888889,19,0.368421053,9.005091983,9.380832968,09:29.2,6,143066,26:53.0,SykesPropertyID,SykesPark:0,SykesParkID,148061,1,236900,0,0,2,3,Friday,52.2301176,-2.2980959,,Worcestershire,Top Style Orchard,Current,Lodge,4,Ticks 1 to 5,6,4,0,0,260500,380500,"Monkwood Green, Worcestershire",Other settlement,Worcestershire,England,Monkwood Green,Heart of England,03/03/2021,12/04/2021,,,Unknown,Unknown,Unknown,0,18,Partial Plus Income Maximisation,,No,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,,review evidence only - manual review recommended,we saw the gold winner certificate from Sykes for the best farm stay in 2024,we all enjoyed our visit to the farm,to sit out on the deck and watch the ewes and their lambs in the orchard,the kids absolutely loved the tour of the farm,We all enjoyed the farm visit and appreciated the hosts giving up their time and allowing the children to sit on tractors and collect eggs.
946987,Best Farm Stay,10,9.3,10,10,15,0.666666667,8.959883741,9.375930245,09:29.2,7,83554,18:44.0,SykesPropertyID,SykesPark:0,SykesParkID,85873,1,128749,0,0,1,1,Saturday,51.3401598,0.3502695,,South East,Badger View,Current,Lodge,4,Ticks 1 to 5,2,4,0,0,162500,563500,"Culverstone Green, Kent",Other settlement,Kent,England,Culverstone Green,South Coast,22/11/2016,01/12/2016,,,Unknown,Unknown,Unknown,0,20,Super Income Maximisation,25/08/2021,No Option Assigned,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,,review evidence only - manual review recommended,to see the pony’s and chickens eating in the garden,the real stars of the show were the animals. Bob & Jess who wanted to play ball every day and the ponies who visited most days were adorable.,"We had visits from the 3 adorable ponies Barney, Snoopy & Stanley. We loved watching the chickens & squirrels.",the highlight for me was the fact that their ponies are free to roam and loved visiting us for a daily morning pet (and the odd apple or carrot),the animals are just adorable
5396,Best Farm Stay,15,9.333333333,10,9.733333333,16,0.9375,9.047906993,9.375410862,09:29.2,8,53262,50:59.0,SykesPropertyID,SykesPark:0,SykesParkID,2352,1,62498,0,0,1,3,Friday,51.8436099,-4.7541402,,South Wales,"Saddlers Cottage, Berllandeg Farm",Current,Detached,4,Ticks 1 to 5,4,4,0,0,217500,209500,"Bethesda, Pembrokeshire",Other settlement,Pembrokeshire,Wales,Bethesda,South Wales,16/03/2011,16/03/2011,,,Unknown,Unknown,Unknown,0,20,Full Income Maximisation,,No Option Assigned,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,criteria met,"the lovely cutch the trusty farm dog, loved his treats, and then the beautiful llamas, all with their own little personality, and Russell the crow, swooping across the yard to greet you, oh and not to forget the lovely curly sheep",our kiddies being able to be involved (with us) with the care of the animals,encouragement to join in whenever we wanted to with the animals,"being so close to all the amazing animals, especially the donkeys",We had the most wonderful stay on Martin and Lavinia’s farm.
19144,Best Farm Stay,8,9.375,10,10,12,0.666666667,8.955426379,9.373255827,09:29.2,9,48398,53:39.0,SykesPropertyID,SykesPark:0,SykesParkID,17846,1,60882,0,0,1,2,Friday,53.1095027,-1.7332225,,HP Peak District,Dover Barn,Current,Semi detached,4,Ticks 1 to 5,4,4,1,0,354500,418500,"Parwich, Derbyshire",Other settlement,Derbyshire,England,Parwich,Peak District,24/09/2012,12/10/2012,,,Unknown,Unknown,Unknown,0,20,Full Income Maximisation,,No Option Assigned,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,,review evidence only - manual review recommended,our children loved seeing the animals on the farm,"My daughter loved visiting the donkeys, goats and horse every afternoon",Having all the farm animals around was lovely too.,it most definitely won't be our last visit to this beautiful Farm,X loved the animals and feeding them.
966889,Best Farm Stay,4,9.75,10,10,12,0.333333333,8.942691059,9.365614635,09:29.2,10,93410,58:09.0,SykesPropertyID,SykesPark:0,SykesParkID,90110,1,160761,1,6,2,4,Saturday,52.9892312,-4.240557,,North Wales,Tyn Y Gorlan,Current,House,4,Ticks 1 to 5,9,4,0,0,344500,249500,"Garndolbenmaen, Gwynedd",Other settlement,Gwynedd,Wales,Garndolbenmaen,North Wales,28/09/2017,25/11/2017,,,Unknown,Unknown,Unknown,0,15,Full Income Maximisation,,No Option Assigned,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,,review evidence only - manual review recommended,they loved the horses,"Visits from sheep, cows and farm dogs at the gate was amusing",Big bonus was the neighbours ie: sheep with lambs and cows with their calves.,Loads of farm animals sheep cows chickens and horses,
